aphiaID,scientificName,n_events
134529,Pyramimonas,20692
115090,Chrysochromulina,19910
106303,Plagioselmis prolonga,18138
110152,Heterocapsa rotundata,16730
106285,Teleaulax,15205
109475,Gymnodinium,14288
109603,Dinophysis acuminata,13248
109392,Gymnodiniales,12064
376667,Skeletonema marinoi,11693
148985,Chaetoceros,11140
160599,Pseudopedinella,10570
156690,Thalassiosira baltica,10475
109394,Peridiniales,10428
495363,Tripos muelleri,10321
109637,Dinophysis norvegica,9608
160567,Aphanizomenon,9181
17640,Cryptomonadales,9132
106310,Hemiselmis virescens,8820
160524,Chaetoceros wighamii,8775
146203,Dinoflagellata,7578
840626,Tripos fusus,7549
149120,Chaetoceros danicus,7240
149074,Skeletonema costatum,6892
985570,Synedra nitzschioides f. nitzschioides,6864
178611,Oocystis,6844
149004,Cylindrotheca closterium,6832
110303,Prorocentrum micans,6738
109545,Scrippsiella,6659
149168,Proboscia alata,6597
146562,Aphanocapsa,6307
1346683,Kryptoperidinium triquetrum,6267
110156,Peridiniella catenata,5929
341285,Centrales,5886
146543,Chroococcales,5711
1310442,Octactis speculum,5696
575737,Binuclearia lauterbornii,5664
19542,Dinophyceae,5476
146585,Anabaena,5476
110208,Protoperidinium bipes,5456
146617,Woronichinia,5327
148912,Thalassiosira,5322
160566,Nodularia spumigena,5164
837459,Tripos lineatus,5140
109553,Protoperidinium,5105
840627,Tripos furca,4976
106282,Cryptomonas,4888
106305,Teleaulax acuta,4638
961694,Cerataulina bergonii,4638
146715,Aphanothece,4563
106306,Teleaulax amphioxeia,4370
985165,Rhizosolenia fragilissima f. fragilissima,4355
17639,Cryptophyceae,4268
160553,Dinobryon faculiferum,4235
177588,Pseudanabaena,4136
160530,Rhizosolenia flaccida,4131
148908,Cyclotella choctawhatcheeana,4112
841259,Tripos longipes,4033
109538,Glenodinium,3985
149114,Rhizosolenia delicatula,3928
110210,Protoperidinium brevipes,3911
110245,Protoperidinium pellucidum,3804
232376,Prorocentrum cordatum,3781
177108,Cyanodictyon,3766
134559,Pyramimonas virginica,3723
109876,Gyrodinium spirale,3513
115061,Prymnesiales,3261
149115,Rhizosolenia setigera,3238
109476,Gyrodinium,3126
163624,Pauliella taeniata,3069
149106,Leptocylindrus danicus,3051
148917,Coscinodiscus,3047
106287,Hemiselmis,3019
163131,Chaetoceros subtilis var. subtilis,2960
110316,Prorocentrum triestinum,2929
233592,Lingulodinium polyedra,2902
109726,Amphidinium crassum,2816
149271,Coscinodiscus granii,2815
149151,Pseudo-nitzschia,2796
149023,Ditylum brightwellii,2785
162770,Actinocyclus octonarius var. octonarius,2700
149150,Nitzschia longissima,2697
149126,Chaetoceros decipiens,2685
146677,Planktolyngbya,2659
177595,Romeria,2601
160552,Dinobryon balticum,2578
163932,Ceratoneis closterium,2548
163016,Chaetoceros ceratosporus var. ceratosporus,2543
109604,Dinophysis acuta,2498
663583,Protodinium simplex,2463
149127,Chaetoceros similis,2440
841260,Tripos macroceros,2436
177138,Lemmermanniella,2427
149308,Thalassiosira levanderi,2412
146545,Merismopedia,2390
148899,Bacillariophyceae,2343
149001,Bacillariales,2320
627627,Merismopedia tranquilla,2318
962003,Chaetoceros septentrionalis,2308
110217,Protoperidinium depressum,2249
178583,Chlamydomonas,2233
156619,Chaetoceros perpusillus,2195
148955,Asterionella glacialis,2174
146546,Merismopedia warmingiana,2171
149153,Pseudo-nitzschia delicatissima,2128
248145,Oocystis submarina,2087
149241,Chaetoceros affinis,2047
110219,Protoperidinium divergens,2003
149152,Pseudo-nitzschia seriata,1995
146603,Oscillatoriales,1973
1380043,Apocalathium malmogiense,1959
248097,Apedinella radians,1942
110223,Protoperidinium granii,1934
149039,Leptocylindrus minimus,1927
110155,Oblea rotunda,1906
156505,Phalacroma rotundatum,1881
106283,Plagioselmis,1875
163063,Chaetoceros holsaticus,1872
109754,Amphidinium sphenoides,1867
163348,Rhizosolenia semispina,1839
110257,Protoperidinium steinii,1835
148971,Coscinodiscophycidae,1835
149045,Nitzschia,1767
248149,Pseudopedinella elastica,1756
109473,Amphidinium,1753
110321,Protoceratium reticulatum,1746
149221,Chaetoceros curvisetus,1736
157258,Dictyocha,1718
1304629,Pennales,1710
148954,Asterionella formosa,1702
156623,Chaetoceros tenuissimus,1691
148931,Thalassiosira nordenskioeldii,1661
109713,Alexandrium pseudogonyaulax,1653
160602,Scenedesmus,1632
966467,Orthosira angulata,1621
624961,Aphanothece paralleliformis,1605
148905,Cyclotella,1595
157240,Dinobryon,1535
233369,Peridiniella danica,1508
149219,Chaetoceros debilis,1504
149228,Chaetoceros laciniosus,1503
341473,Chaetoceros castracanei,1462
802,Chlorophyceae,1415
110007,Amylax triacantha,1394
149028,Fragilaria,1385
109540,Heterocapsa,1334
149158,Coscinodiscus radiatus,1307
109549,Peridinium,1296
732333,Chlamydomonadales,1278
149342,Licmophora,1252
157237,Ochromonadales,1248
248172,Uroglena,1223
149142,Navicula,1222
160600,Pseudopedinella pyriformis,1183
149048,Triceratiales,1145
149123,Chaetoceros socialis,1144
149291,Chaetoceros brevis,1139
149055,Paralia sulcata,1104
156621,Chaetoceros subtilis,1100
163042,Syndendrium diadema,1097
163150,Chaetoceros throndsenii var. throndsenii,1094
148992,Coscinodiscus concinnus,1078
109515,Diplopsalis,1066
160572,Synechococcus,1064
110244,Protoperidinium pallidum,1032
17329,Prasinophyceae,1022
149287,Rhizosolenia minima,1017
109992,Micracanthodinium claytonii,1013
964359,Coscinodiscus angustelineatus,991
149117,Rhizosolenia pungens,979
1368615,Kapelodinium vestifici,952
109993,Micracanthodinium setiferum,940
160588,Koliella,936
110213,Protoperidinium conicum,924
110293,Prorocentrum balticum,923
146576,Merismopedia tenuissima,918
148969,Biddulphia sinensis,905
149124,Chaetoceros borealis,899
148944,Actinocyclus,891
156609,Chaetoceros constrictus,883
149129,Chaetoceros compressus,879
175794,Rhoicosphenia abbreviata,870
149033,Gyrosigma,861
163224,Lauderia confervacea,845
232546,Akashiwo sanguinea,825
109410,Gymnodiniaceae,823
148942,Thalassiosira rotula,811
134566,Pseudoscourfieldia marina,810
149070,Rhizosolenia hebetata,810
149293,Chaetoceros radians,799
109462,Dinophysis,787
160595,Pterosperma,772
106289,Rhodomonas,758
109506,Ceratium,756
233024,Karenia mikimotoi,746
576240,Dictyosphaerium subsolitarium,724
146565,Chroococcus,721
146557,Microcystis,700
157463,Dictyocha fibula,670
148941,Ethmodiscus punctiger,663
109519,Gonyaulax,661
110238,Protoperidinium oblongum,649
163124,Chaetoceros socialis f. socialis,646
149122,Chaetoceros didymus,644
175373,Nitzschia acicularis var. acicularis,629
160590,Monoraphidium,621
149297,Chaetoceros ceratosporus,620
547527,Nematopsides vigilans,611
149629,Rhizosolenia styliformis,606
688227,Heterocapsa arctica subsp. frigida,604
163344,Pseudosolenia calcar-avis,594
976453,Melosira arctica var. arctica,594
370366,Chaetoceros (Hyalochaete),582
176209,Synedra acus var. acus,575
149050,Odontella aurita,569
248103,Botryococcus,568
156689,Porosira glacialis,560
109901,Polykrikos schwartzii,550
110045,Gonyaulax verior,549
175400,Nitzschia frigida,547
149075,Skeletonema subsalsum,528
163108,Kirchneriella,521
148919,Thalassiosira decipiens,515
149186,Synedra,508
248137,Mougeotia,503
577724,Phacotus,501
110241,Protoperidinium ovatum,498
109854,Gyrodinium flagellare,493
149116,Rhizosolenia imbricata,491
149069,Rhizosolenia,490
341484,Coscinodiscus oculus-iridis,490
146573,Coelosphaerium,489
146558,Microcystis aeruginosa,485
233776,Chattonella,479
109856,Gyrodinium fusiforme,478
163646,Entomoneis paludosa,478
149131,Eucampia zodiacus,477
291417,Paraphysomonas,476
233619,Heterocapsa minima,469
160528,Pseudo-nitzschia pungens,465
149121,Chaetoceros densus,452
149191,Achnanthes,447
149042,Melosira,432
163030,Phaeoceros,431
621601,Pseudopediastrum boryanum,425
176254,Synedra ulna var. ulna,422
248151,Rhodomonas lacustris,409
134545,Cymbomonas tetramitiformis,405
148959,Aulacoseira,405
160569,Coelomoron pusillum,404
233037,Karlodinium veneficum,399
418547,Melosira moniliformis,397
134526,Tetraselmis,394
707720,Cyanodictyon balticum,393
149623,Chaetoceros contortus,389
134563,Mantoniella squamata,385
149102,Thalassiosira gravida,375
149200,Amphora,368
418510,Chaetoceros neogracile,368
110214,Protoperidinium crassipes,367
110041,Gonyaulax spinifera,365
1321853,Scrippsiella acuminata,360
172418,Fragilariopsis cylindrus,359
109470,Alexandrium,357
163197,Cyclotella hakanssoniae,357
156611,Chaetoceros convolutus,353
156636,Melosira lineata,346
177572,Planktolyngbya contorta,343
578476,Dolichospermum,343
110001,Diplopsalis lenticula,342
163143,Miraltia throndsenii,338
391330,Ceratium tripos subsp. balticum,334
841182,Tripos arietinus,333
148922,Thalassiosira eccentrica,328
109712,Alexandrium ostenfeldii,318
249725,Ochromonas,314
175326,Navicula vanhoeffenii,313
164116,Odontella mobiliensis,308
246605,Pseudo-nitzschia calliantha,305
160585,Heterosigma akashiwo,302
109921,Noctiluca scintillans,301
248110,Chrysococcus,301
610934,Tetrastrum staurogeniiforme,301
115104,Emiliania huxleyi,299
148961,Aulacoseira granulata,298
149135,Lauderia annulata,297
503615,Gymnodinium parvum,297
146647,Aphanocapsa holsatica,296
162803,Eupodiscus tenellus,296
109477,Katodinium,294
232598,Pyrophacus horologium,292
134524,Nephroselmis,291
163112,Chaetoceros radicans,289
17666,Chlorodendrales,286
109705,Fragilidium subglobosum,279
156607,Chaetoceros concavicornis,278
699619,Anathece clathrata,276
146551,Planktothrix,272
160563,Prymnesium,271
149294,Chaetoceros simplex,263
614618,Preperidinium meunieri,260
146230,Chrysophyceae,256
149222,Chaetoceros pseudocrinitus,254
177635,Anabaena baltica,254
156632,Coscinodiscus wailesii,253
146537,Cyanobacteria,252
157083,Thalassiothrix longissima,251
232765,Gymnodinium galeatum,246
367250,Carteria,244
160092,Diatoma tenue,243
670030,Prymnesium polylepis,243
109889,Torodinium robustum,240
146570,Gomphosphaeria,239
109800,Gymnodinium gracile,237
109741,Amphidinium longum,234
162810,Actinocyclus senarius,231
249713,Desmodesmus maximus,230
149125,Chaetoceros teres,228
478557,Cosmarium,226
149648,Aulacoseira islandica,224
103987,Bicosoeca,223
110215,Protoperidinium curtipes,218
573933,Helicopedinella tricostata,218
232880,Gymnodinium verruculosum,216
345489,Nannochloropsis,216
163346,Rhizosolenia calcar-avis,213
149181,Pleurosigma,211
109433,Peridiniaceae,208
156617,Chaetoceros lorenzianus,207
175319,Navicula transitans var. transitans,206
162934,Tetrastrum,203
163474,Kephyrion,202
248096,Apedinella,200
249711,Desmodesmus,199
162725,Closterium,198
146596,Trochiscia,197
149236,Cerataulina,195
163196,Cyclotella caspia,193
841287,Durinskia dybowskii,192
148989,Cocconeis,191
613622,Quadricoccus euryhalinicus,190
464444,Attheya longicornis,189
106281,Chroomonas,188
110154,Kryptoperidinium foliaceum,187
157061,Tabularia fasciculata,185
968805,Rhizosolenia fragillissima,184
134546,Halosphaera viridis,183
175584,Phaeodactylum tricornutum,183
232703,Lessardia elongata,182
975815,Navicula interrupta var. interrupta,181
172614,Licmophora gracilis var. gracilis,177
109826,Gymnodinium rhomboides,176
109566,Prorocentrum,174
149018,Diploneis,172
345481,Lepidodinium chlorophorum,172
626298,Biecheleria halophila,170
109479,Torodinium,162
248113,Cryptomonas pelagica,162
146549,Oscillatoria,161
115126,Chrysochromulina parkeae,160
115106,Phaeocystis pouchetii,159
232778,Gymnodinium heterostriatum,159
531445,Pseudochattonella,159
248171,Tetraselmis cordiformis,158
254440,Koliella spiralis,158
163098,Chaetoceros muelleri,156
177506,Limnothrix,156
146590,Anabaenopsis,155
109899,Polykrikos kofoidii,153
531467,Pseudochattonella farcimen,152
978224,Rhizosolenia longiseta var. longiseta,152
109714,Alexandrium tamarense,148
160584,Heterosigma,147
109616,Dinophysis dens,146
156548,Pseudo-nitzschia pseudodelicatissima,146
1307640,Bacterosira constricta,146
162728,Staurastrum,145
977537,Pinnularia directa var. directa,141
115057,Prymnesiophyceae,140
156598,Entomoneis,137
572035,Elakatothrix,137
635472,Melosira discigera,136
110015,Gonyaulax digitale,135
163110,Raphidocelis,135
177121,Cyanonephron,135
149288,Chaetoceros atlanticus,134
146578,Merismopedia glauca,133
155554,Cryptomonas ovata,133
391319,Trochiscia clevei,132
106314,Rhodomonas marina,131
146560,Microcystis flos-aquae,129
549205,Lennoxia faveolata,127
115088,Phaeocystis,126
146542,Cyanophyceae,126
149538,Cymbella,126
175321,Navicula transitans var. derasa f. delicatula,126
162673,Aphanocapsa reinboldii,125
149631,Stephanopyxis turris,124
134564,Micromonas pusilla,123
163728,Vibrio paxillifer,123
146690,Phormidium,122
345524,Spiniferomonas,121
149060,Podosira stelligera,120
162715,Planctonema,120
249721,Mallomonas,117
148945,Actinocyclus normanii,114
149320,Navicula transitans,113
156692,Nodularia,113
134534,Pseudoscourfieldia,112
232859,Gymnodinium roseostigma,112
149338,Grammatophora marina,110
160594,Pachysphaera,109
178623,Dictyosphaerium,106
176294,Tabularia tabulata,104
109851,Gyrodinium dominans,103
149073,Skeletonema,103
345882,Pterosperma moebii,102
963135,Melosira italica,102
149159,Coscinodiscus centralis,97
172385,Fragilaria capucina var. capucina,96
109425,Cladopyxidaceae,95
149046,Nitzschia acicularis,94
149084,Surirella,92
391509,Azadinium spinosum,92
1380403,Speroidium fungiforme,91
163243,Eucampia striata,90
163191,Coscinodiscus subbulliens,88
163451,Coscinodiscus polychordus,88
177482,Synechocystis,88
156511,Ceratium hirundinella,86
601289,Choricystis,85
232716,Gymnodinium aureolum,84
547544,Rhizosolenia setigera f. pungens,84
148934,Thalassiosira pseudonana,83
110325,Dissodinium pseudolunula,81
985162,Rhizosolenia eriensis f. eriensis,80
148925,Thalassiosira minima,78
155555,Cryptomonas erosa,76
175320,Navicula transitans var. derasa,76
109903,Pronoctiluca pelagica,74
110212,Protoperidinium conicoides,74
163026,Chaetoceros coronatus,73
109902,Oxyrrhis marina,72
110247,Protoperidinium pentagonum,72
110259,Protoperidinium subinerme,72
409696,Peridinium divergens var. levanderi,72
571649,Glenodinium pilula,72
106295,Chroomonas vectensis,70
109528,Oxytoxum,70
160529,Nitzschia pungens,70
163048,Chaetoceros didymus var. didymus,70
163118,Chaetoceros seiracanthus,70
992758,Aduncodinium glandula,70
824,Ulotrichales,69
149013,Diatoma,68
146168,Cryptaulax marina,67
573470,Fragilaria unipunctata,66
109474,Cochlodinium,63
110240,Protoperidinium oceanicum,63
160582,Chattonellales,63
109610,Dinophysis baltica,62
149343,Licmophora gracilis,62
648841,Rhodomonas pygmaea,62
109485,Polykrikos,61
149376,Cocconeis scutellum,61
178594,Synura,61
110249,Protoperidinium pyriforme,60
163019,Chaetoceros circinalis,60
172799,Navicula gregaria,60
248129,Meringosphaera mediterranea,60
640124,Kephyrion inconstans,60
531446,Pseudochattonella verruculosa,58
160550,Coelastrum,57
494102,Oltmannsiellopsis,57
109852,Gyrodinium estuariale,55
149524,Amphora ovalis,55
163015,Chaetoceros simplex var. calcitrans,55
1296717,Staurosira inflata,55
1382182,Lebouridinium glaucum,55
109767,Cochlodinium helix,54
110248,Protoperidinium punctulatum,54
146566,Chroococcus turgidus,54
146645,Snowella lacustris,54
178595,Synura uvella,54
248138,Nitzschia cylindrus,53
22970,Klebsormidiales,52
149079,Stephanodiscus,52
163873,Cocconeis placentula var. placentula,52
1322477,Cerataulus granulata,52
233870,Oxytoxum gracile,51
248153,Rhodomonas lens,51
975029,Coscinodiscus stellaris var. stellaris,51
978832,Synedra berolinensis var. berolinensis,51
109711,Alexandrium minutum,50
375676,Pedinella hexacostata,50
662632,Pinnularia didyma,50
837255,Chrysotila carterae,50
